title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
How to Redirect Balcony Water Away From Your Sliding Doors,how-to-redirect-balcony-water-away-from-your-sliding-doors,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Redirect Balcony Water Away From Your Sliding Doors,1,1,"redirect, protecting, entryways, doors, sliding, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Tell If Your Plants Are Dehydrated After You Return,how-to-tell-if-your-plants-are-dehydrated-after-you-return,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,No tap / renter constraints,How to Tell If Your Plants Are Dehydrated After You Return,1,1,"customer, vacation, dehydrated, assess, after, health","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Indoor Plant Humidity While Away: Is It a Concern?,indoor-plant-humidity-while-away-is-it-a-concern,L2 money page,problem-solver,problem-aware,high,10.5,P4,Timers and automation,Indoor Plant Humidity While Away: Is It a Concern?,1,1,"worried, customer, concern, indoor, about, humidity",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Plant Watering While Away: Indoor vs. Outdoor Tips,plant-watering-while-away-indoor-vs-outdoor-tips,L2 money page,comparison,buyer,high,10.5,P4,Timers and automation,Plant Watering While Away: Indoor vs. Outdoor Tips,1,1,"customer, mixed, indoor, has, collection, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
What to Do if Your Rental Balcony Pools Water,what-to-do-if-your-rental-balcony-pools-water,L2 money page,guide,solution-aware,high,10.5,P4,Drip setup and expansion,What to Do if Your Rental Balcony Pools Water,1,1,"rental, renters, pools, steps","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Why Smart Hose Timers Are Game-Changers for Apartment Gardeners,why-smart-hose-timers-are-game-changers-for-apartment-gardeners,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,No tap / renter constraints,Why Smart Hose Timers Are Game-Changers for Apartment Gardeners,1,1,"limited, benefits, gardeners, game, hose, changers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering Without Electricity: DIY Options That Work,automatic-watering-without-electricity-diy-options-that-work,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Budget DIY watering,Automatic Watering Without Electricity: DIY Options That Work,1,1,"solutions, automatic, options, electricity, passive, work",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Balcony Watering System: Drip Irrigation vs. Timer vs. Self-Watering,balcony-watering-system-drip-irrigation-vs-timer-vs-self-watering,L3 support / problem solver,comparison,buyer,high,10.0,P4,Hose / soaker options,Balcony Watering System: Drip Irrigation vs. Timer vs. Self-Watering,1,1,"methods, drip, comparison, self, timer, different","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Battery-Powered Hose Timers for Balcony Watering: Setup Guide,battery-powered-hose-timers-for-balcony-watering-setup-guide,L2 money page,guide,buyer,high,10.0,P4,Hose / soaker options,Battery-Powered Hose Timers for Balcony Watering: Setup Guide,1,1,"easy, guide, powered, setup, hose, timer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Automatic Watering for Small Patios and Balconies,best-automatic-watering-for-small-patios-and-balconies,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Automatic Watering for Small Patios and Balconies,1,1,"efficient, small, find, patios, solutions, automatic","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Balcony Waterproofing Solutions for Drainage,best-balcony-waterproofing-solutions-for-drainage,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Balcony Waterproofing Solutions for Drainage,1,1,"waterproofing, fixes, long, solutions, term, drainage","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Container Plants for Minimal Watering,best-container-plants-for-minimal-watering,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Container Plants for Minimal Watering,1,1,"low, maintenance, minimal, alternatives","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Container Size and Material for Balcony Gardens,best-container-size-and-material-for-balcony-gardens,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Container Size and Material for Balcony Gardens,1,1,"pots, right, size, material, choosing","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Plants for Balconies With Inconsistent Watering,best-plants-for-balconies-with-inconsistent-watering,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Plants for Balconies With Inconsistent Watering,1,1,"low, inconsistent, maintenance, selection","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Portable Water Container for Balcony Gardening,best-portable-water-container-for-balcony-gardening,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Portable Water Container for Balcony Gardening,1,1,"solution, gardening, portable, mobile","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Self-Watering Planters for Different Plant Sizes,best-self-watering-planters-for-different-plant-sizes,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Self-Watering Planters for Different Plant Sizes,1,1,"needs, self, sizes, different, planters, match","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Watering System for Balcony Plants in Hot Weather,best-watering-system-for-balcony-plants-in-hot-weather,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Watering System for Balcony Plants in Hot Weather,1,1,"weather, specific, hot, climate, solutions","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Bluetooth Hose Timers: Can You Really Control Them From Your Phone?,bluetooth-hose-timers-can-you-really-control-them-from-your-phone,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Bluetooth Hose Timers: Can You Really Control Them From Your Phone?,1,1,"remote, control, phone, them, hose, capabilities","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can a Basic Hose Timer Handle Multiple Drip Lines?,can-a-basic-hose-timer-handle-multiple-drip-lines,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Can a Basic Hose Timer Handle Multiple Drip Lines?,1,1,"questions, handle, multiple, drip, hose, timer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can You Build a Watering System From Old Buckets and Supplies?,can-you-build-a-watering-system-from-old-buckets-and-supplies,L3 support / problem solver,guide,buyer,high,10.0,P4,Budget DIY watering,Can You Build a Watering System From Old Buckets and Supplies?,1,1,"care, supplies, build, upcycling, old, buckets",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can You Leave Your Garden Alone? Automatic Watering While on Vacation,can-you-leave-your-garden-alone-automatic-watering-while-on-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Can You Leave Your Garden Alone? Automatic Watering While on Vacation,1,1,"vacation, maintain, traveling, automatic, leave, alone",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Can You Mix Different Watering Methods on One Balcony?,can-you-mix-different-watering-methods-on-one-balcony,L3 support / problem solver,guide,solution-aware,high,10.0,P4,Hose / soaker options,Can You Mix Different Watering Methods on One Balcony?,1,1,"methods, manual, mix, one, automatic, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can You Overwater Plants Before Vacation?,can-you-overwater-plants-before-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Can You Overwater Plants Before Vacation?,1,1,"worried, customer, strategy, before, vacation, pre",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Can You Use a Bucket System to Water Multiple Containers?,can-you-use-a-bucket-system-to-water-multiple-containers,L3 support / problem solver,guide,buyer,high,10.0,P4,Budget DIY watering,Can You Use a Bucket System to Water Multiple Containers?,1,1,"multiple, solutions, bucket, simple, based",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can You Use Inverted Bottle Watering for All Plant Types?,can-you-use-inverted-bottle-watering-for-all-plant-types,L3 support / problem solver,guide,solution-aware,medium,10.0,P4,Budget DIY watering,Can You Use Inverted Bottle Watering for All Plant Types?,1,1,"limitations, bottle, trick, inverted, types, all",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can You Use One Hose Timer for Multiple Watering Zones?,can-you-use-one-hose-timer-for-multiple-watering-zones,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Can You Use One Hose Timer for Multiple Watering Zones?,1,1,"expanding, multiple, one, hose, timer, coverage","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can You Use Reclaimed Materials to Build a Watering System?,can-you-use-reclaimed-materials-to-build-a-watering-system,L3 support / problem solver,guide,buyer,high,10.0,P4,Budget DIY watering,Can You Use Reclaimed Materials to Build a Watering System?,1,1,"recycled, build, found, using, items, approach",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can You Use Wine Bottles or Soda Bottles for Plant Watering?,can-you-use-wine-bottles-or-soda-bottles-for-plant-watering,L3 support / problem solver,guide,solution-aware,medium,10.0,P4,Budget DIY watering,Can You Use Wine Bottles or Soda Bottles for Plant Watering?,1,1,"bottles, bottle, solutions, wine, diy, soda",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
DIY Plant Watering Spike System,diy-plant-watering-spike-system,L3 support / problem solver,guide,buyer,high,10.0,P4,Budget DIY watering,DIY Plant Watering Spike System,1,1,"spike, diy, based",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
DIY Watering System Using 5-Gallon Buckets,diy-watering-system-using-5-gallon-buckets,L3 support / problem solver,guide,buyer,high,10.0,P4,Budget DIY watering,DIY Watering System Using 5-Gallon Buckets,1,1,"solutions, bucket, simple, gallon, using, buckets",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Do You Really Need a Timer for Drip Irrigation?,do-you-really-need-a-timer-for-drip-irrigation,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Do You Really Need a Timer for Drip Irrigation?,1,1,"essential, drip, understanding, timer, systems, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation for Balcony Plants Without Tap Water,drip-irrigation-for-balcony-plants-without-tap-water,L3 support / problem solver,problem-solver,problem-aware,high,10.0,P4,Drip setup and expansion,Drip Irrigation for Balcony Plants Without Tap Water,1,1,"tap, efficient, drip, method, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Drip Irrigation for Raised Beds: Timer Setup Guide,drip-irrigation-for-raised-beds-timer-setup-guide,L2 money page,guide,buyer,high,10.0,P4,Hose / soaker options,Drip Irrigation for Raised Beds: Timer Setup Guide,1,1,"raised, beds, guide, drip, installing, setup","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation Timer Setup for Beginners,drip-irrigation-timer-setup-for-beginners,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Drip Irrigation Timer Setup for Beginners,1,1,"drip, setup, automate, timer, beginners, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Gateway Required? Understanding Wireless Hose Timer Requirements,gateway-required-understanding-wireless-hose-timer-requirements,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Gateway Required? Understanding Wireless Hose Timer Requirements,1,1,"wireless, technical, required, understanding, requirements, setup","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How Often Should You Refill a Gravity Fed Plant Watering System?,how-often-should-you-refill-a-gravity-fed-plant-watering-system,L3 support / problem solver,problem-solver,buyer,high,10.0,P4,Budget DIY watering,How Often Should You Refill a Gravity Fed Plant Watering System?,1,1,"frequency, refill, maintenance, gravity, often, scheduling",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Choose Between Manual and Automatic Balcony Watering,how-to-choose-between-manual-and-automatic-balcony-watering,L3 support / problem solver,problem-solver,problem-aware,high,10.0,P4,Buyer guide: kits / systems,How to Choose Between Manual and Automatic Balcony Watering,1,1,"convenience, choose, manual, comparing, automatic, effort","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Mulch Balcony Plant Containers to Retain Water,how-to-mulch-balcony-plant-containers-to-retain-water,L3 support / problem solver,problem-solver,problem-aware,high,10.0,P4,Buyer guide: kits / systems,How to Mulch Balcony Plant Containers to Retain Water,1,1,"techniques, retain, mulch, retention","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up Rainbird Balcony Irrigation Kit,how-to-set-up-rainbird-balcony-irrigation-kit,L3 support / problem solver,problem-solver,buyer,high,10.0,P4,Watering frequency and schedules,How to Set Up Rainbird Balcony Irrigation Kit,1,1,"rainbird, specific, kit, setup, set, product","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Water Tall Potted Plants Automatically on Your Balcony,how-to-water-tall-potted-plants-automatically-on-your-balcony,L3 support / problem solver,problem-solver,problem-aware,low,10.0,P4,Watering frequency and schedules,How to Water Tall Potted Plants Automatically on Your Balcony,1,1,"potted, automatically, reaching, tall, elevated, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Moisture Sensors With Hose Timers: Essential or Overkill?,moisture-sensors-with-hose-timers-essential-or-overkill,L3 support / problem solver,guide,buyer,high,10.0,P4,Hose / soaker options,Moisture Sensors With Hose Timers: Essential or Overkill?,1,1,"essential, overkill, moisture, sensors, features, hose","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Plant Watering Schedule: What to Do Before Leaving Home,plant-watering-schedule-what-to-do-before-leaving-home,L2 money page,technical-guide,solution-aware,high,10.0,P4,Buyer guide: kits / systems,Plant Watering Schedule: What to Do Before Leaving Home,1,1,"customer, needs, leaving, before, home, pre","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Preparing Your Balcony Plants for Extended Time Away,preparing-your-balcony-plants-for-extended-time-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Preparing Your Balcony Plants for Extended Time Away,1,1,"customer, vacation, pre, extended, wants, prep",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Should I Be Concerned About Water Pooling on My Balcony?,should-i-be-concerned-about-water-pooling-on-my-balcony,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Should I Be Concerned About Water Pooling on My Balcony?,1,1,"questions, health, safety, concerned, pooling, about","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Soaker Hoses vs. Drip Irrigation: Which Needs a Timer?,soaker-hoses-vs-drip-irrigation-which-needs-a-timer,L3 support / problem solver,comparison,buyer,high,10.0,P4,Hose / soaker options,Soaker Hoses vs. Drip Irrigation: Which Needs a Timer?,1,1,"which, needs, soaker, drip, comparing, hoses","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Soil Types That Work Best with Balcony Drip Irrigation,soil-types-that-work-best-with-balcony-drip-irrigation,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Soil Types That Work Best with Balcony Drip Irrigation,1,1,"automated, drip, optimize, types, soil, work","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Watering Balcony Plants: Hose Timer Setup Guide,watering-balcony-plants-hose-timer-setup-guide,L2 money page,guide,buyer,high,10.0,P4,Hose / soaker options,Watering Balcony Plants: Hose Timer Setup Guide,1,1,"learning, guide, setup, hose, timer, automation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Watering Plants While on Vacation: Simple Solutions,watering-plants-while-on-vacation-simple-solutions,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Watering Plants While on Vacation: Simple Solutions,1,1,"keeping, vacation, home, alive, solutions, being",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Watering Schedule Tips for Hose Timer Users,watering-schedule-tips-for-hose-timer-users,L3 support / problem solver,technical-guide,buyer,high,10.0,P4,Hose / soaker options,Watering Schedule Tips for Hose Timer Users,1,1,"optimizing, users, settings, hose, timer, schedule","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What's the Best Automatic Watering System for Succulents and Cacti?,what-s-the-best-automatic-watering-system-for-succulents-and-cacti,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,What's the Best Automatic Watering System for Succulents and Cacti?,1,1,"needs, cacti, type, specific, automatic, succulents","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Ziplock Bag Method for Watering Plants While Away,ziplock-bag-method-for-watering-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Ziplock Bag Method for Watering Plants While Away,1,1,"vacation, hack, bag, ziplock, method, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Automatic Watering for Apartment Dwellers: What Are My Options?,automatic-watering-for-apartment-dwellers-what-are-my-options,L3 support / problem solver,guide,solution-aware,medium,9.5,P4,No tap / renter constraints,Automatic Watering for Apartment Dwellers: What Are My Options?,1,1,"limited, solutions, automatic, renters, spaces, options","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Automatic Watering for Succulents in Pots: Will It Kill Them?,automatic-watering-for-succulents-in-pots-will-it-kill-them,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Automatic Watering for Succulents in Pots: Will It Kill Them?,1,1,"pots, will, specific, concerns, kill, automatic","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Balcony Watering System for Renters: What You Need to Know,balcony-watering-system-for-renters-what-you-need-to-know,L3 support / problem solver,guide,buyer,high,9.5,P4,No tap / renter constraints,Balcony Watering System for Renters: What You Need to Know,1,1,"invasive, temporary, solutions, renters, non, know","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Bathtub Plant Watering Trick: Does It Really Work?,bathtub-plant-watering-trick-does-it-really-work,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Bathtub Plant Watering Trick: Does It Really Work?,1,1,"customer, trick, considering, popular, work, bathtub","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Solution for Watering Plants on a Small Balcony,best-solution-for-watering-plants-on-a-small-balcony,L2 money page,buyer-guide,buyer,high,9.5,P4,Drip setup and expansion,Best Solution for Watering Plants on a Small Balcony,1,1,"solution, efficient, small, options, space","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Time to Water Balcony Plants,best-time-to-water-balcony-plants,L2 money page,buyer-guide,buyer,high,9.5,P4,Drip setup and expansion,Best Time to Water Balcony Plants,1,1,"optimizing, time, health","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Way to Water Very Tall Hanging Plants on Balconies,best-way-to-water-very-tall-hanging-plants-on-balconies,L2 money page,buyer-guide,buyer,high,9.5,P4,Drip setup and expansion,Best Way to Water Very Tall Hanging Plants on Balconies,1,1,"very, hard, way, reach, solutions, tall","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Ways to Drain Standing Water From a Balcony,best-ways-to-drain-standing-water-from-a-balcony,L2 money page,buyer-guide,buyer,high,9.5,P4,Drip setup and expansion,Best Ways to Drain Standing Water From a Balcony,1,1,"drain, quick, ways, fixes, standing, existing","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can I Use Gray Water to Water Balcony Plants,can-i-use-gray-water-to-water-balcony-plants,L2 money page,guide,solution-aware,high,9.5,P4,Drip setup and expansion,Can I Use Gray Water to Water Balcony Plants,1,1,"option, recycled, gray","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Install a Watering System in a Rental?,can-you-install-a-watering-system-in-a-rental,L3 support / problem solver,guide,buyer,high,9.5,P4,Budget DIY watering,Can You Install a Watering System in a Rental?,1,1,"rights, understanding, rental, renter, options, install",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Clay Pot Watering Spikes: Do They Actually Work?,clay-pot-watering-spikes-do-they-actually-work,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Clay Pot Watering Spikes: Do They Actually Work?,1,1,"spikes, customer, evaluating, devices, pot, they","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Does Self-Leveling Compound Work for Balcony Drainage?,does-self-leveling-compound-work-for-balcony-drainage,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Does Self-Leveling Compound Work for Balcony Drainage?,1,1,"evaluating, specific, solutions, drainage, self, leveling","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Drip Irrigation Spacing and Flow Rate: Getting It Right,drip-irrigation-spacing-and-flow-rate-getting-it-right,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Drip Irrigation Spacing and Flow Rate: Getting It Right,1,1,"getting, right, spacing, rate, flow, drip","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Long Will a Gravity Fed System Keep Plants Watered?,how-long-will-a-gravity-fed-system-keep-plants-watered,L3 support / problem solver,problem-solver,buyer,high,9.5,P4,No tap / renter constraints,How Long Will a Gravity Fed System Keep Plants Watered?,1,1,"frequency, will, keep, refill, gravity, long","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Adjust Drip Irrigation Water Output for Different Plant Types,how-to-adjust-drip-irrigation-water-output-for-different-plant-types,L3 support / problem solver,problem-solver,problem-aware,high,9.5,P4,Drip setup and expansion,How to Adjust Drip Irrigation Water Output for Different Plant Types,1,1,"adjust, customize, various, drip, types, different","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Communicate Balcony Drainage Issues to Your Building Manager,how-to-communicate-balcony-drainage-issues-to-your-building-manager,L3 support / problem solver,problem-solver,problem-aware,medium,9.5,P4,No tap / renter constraints,How to Communicate Balcony Drainage Issues to Your Building Manager,1,1,"manager, communication, communicate, guide, drainage, renter","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Create Better Drainage on a Flat Balcony,how-to-create-better-drainage-on-a-flat-balcony,L3 support / problem solver,comparison,buyer,high,9.5,P4,Drip setup and expansion,How to Create Better Drainage on a Flat Balcony,1,1,"flat, drainage, flaws, fixing, create, design","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Design a Drip System for Multiple Balcony Pots,how-to-design-a-drip-system-for-multiple-balcony-pots,L3 support / problem solver,problem-solver,buyer,high,9.5,P4,Drip setup and expansion,How to Design a Drip System for Multiple Balcony Pots,1,1,"pots, multiple, planning, drip, layout, design","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Improve Balcony Drainage Without Major Renovation,how-to-improve-balcony-drainage-without-major-renovation,L3 support / problem solver,problem-solver,problem-aware,high,9.5,P4,Drip setup and expansion,How to Improve Balcony Drainage Without Major Renovation,1,1,"major, upgrades, drainage, simple, renovation, improve","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Water Plants on a High-Rise Balcony,how-to-water-plants-on-a-high-rise-balcony,L3 support / problem solver,problem-solver,problem-aware,high,9.5,P4,Drip setup and expansion,How to Water Plants on a High-Rise Balcony,1,1,"solution, high, rise, practical","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Humidity Control and Watering for Balcony Plants,humidity-control-and-watering-for-balcony-plants,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Humidity Control and Watering for Balcony Plants,1,1,"control, environmental, humidity, factors","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Indoor Water Source for Balcony Watering,indoor-water-source-for-balcony-watering,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Indoor Water Source for Balcony Watering,1,1,"outside, connecting, indoor, inside, source","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Setting Up Drip Irrigation With a Timer in 30 Minutes,setting-up-drip-irrigation-with-a-timer-in-30-minutes,L3 support / problem solver,guide,buyer,high,9.5,P4,Watering frequency and schedules,Setting Up Drip Irrigation With a Timer in 30 Minutes,1,1,"minutes, quick, setting, drip, solutions, timer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Smart Home Watering: Automating Your Balcony Garden with Alexa,smart-home-watering-automating-your-balcony-garden-with-alexa,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Smart Home Watering: Automating Your Balcony Garden with Alexa,1,1,"enabled, home, automating, solutions, tech, smart","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Water Catchment System for Balcony Plant Irrigation,water-catchment-system-for-balcony-plant-irrigation,L2 money page,guide,buyer,high,9.5,P4,Buyer guide: kits / systems,Water Catchment System for Balcony Plant Irrigation,1,1,"catchment, rainwater, harvesting, irrigation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
